ST,TEMP,DO,EC,SAL,PH,POL,LOC
6,29.9,2.64,45.75,26.67,8.22,3,"5.511678,100.188361"
6,29.9,2.64,45.75,26.71,8.21,3,"5.511678,100.188361"
6,29.9,2.64,45.79,26.71,8.21,3,"5.511678,100.188361"
6,29.9,2.66,45.79,26.71,8.21,3,"5.511678,100.188361"
6,29.9,2.65,45.79,26.73,8.21,3,"5.511678,100.188361"
6,29.9,2.66,45.81,26.73,8.21,3,"5.511678,100.188361"
6,29.9,2.69,45.81,26.73,8.21,3,"5.511678,100.188361"
6,29.9,2.68,45.82,26.73,8.2,3,"5.511678,100.188361"
6,29.9,2.66,45.82,26.73,8.21,3,"5.511678,100.188361"
6,29.9,2.66,45.82,26.73,8.21,3,"5.511678,100.188361"
6,29.9,2.67,45.83,26.74,8.21,3,"5.511678,100.188361"
6,29.9,2.66,45.83,26.74,8.21,3,"5.511678,100.188361"
6,29.9,2.77,45.83,26.74,8.21,3,"5.511678,100.188361"
1,29.4,4.84,30.98,21.21,7.69,2,"5.461894,100.209128"
1,29,4.92,29.91,18.82,7.64,2,"5.461894,100.209128"
1,29.2,4.89,30.29,19,7.76,2,"5.461894,100.209128"
1,29.4,5.22,40.86,23.76,8.1,1,"5.461894,100.209128"
1,29.5,5.3,40.9,23.77,8.13,1,"5.461894,100.209128"
1,29.5,5.31,40.9,23.77,8.14,1,"5.461894,100.209128"
1,29.7,5.3,41.41,23.97,8.14,1,"5.461894,100.209128"
1,29.8,5.32,41.45,23.98,8.15,1,"5.461894,100.209128"
1,29.8,5.35,41.47,23.97,8.15,1,"5.461894,100.209128"
2,29.8,5,41.41,23.9,7.89,1,"5.466925,100.206189"
2,29.8,5.17,41.43,23.97,8.05,1,"5.466925,100.206189"
2,29.8,5.3,41.43,23.97,8.08,1,"5.466925,100.206189"
2,29.8,5.41,41.44,23.97,8.12,1,"5.466925,100.206189"
2,29.8,5.43,41.46,23.99,8.13,1,"5.466925,100.206189"
2,29.8,5.45,41.46,23.99,8.14,1,"5.466925,100.206189"
2,29.7,5.49,41.58,24.1,8.15,1,"5.466925,100.206189"
2,29.8,5.44,41.69,24.16,8.14,1,"5.466925,100.206189"
2,29.8,5.43,41.71,24.52,8.13,1,"5.466925,100.206189"
2,29.8,5.45,42.27,24.61,8.11,1,"5.466925,100.206189"
2,30,5.33,42.62,24.59,8.1,1,"5.466925,100.206189"
2,30,5.29,42.58,25.29,8.1,1,"5.466925,100.206189"
2,30.4,5.01,44.03,25.29,7.99,1,"5.466925,100.206189"
2,30.4,4.77,44,25.26,7.99,2,"5.466925,100.206189"
2,30.5,4.72,43.97,25.22,8,2,"5.466925,100.206189"
2,30.4,4.7,43.9,25.17,7.7,2,"5.466925,100.206189"
2,30.4,4.62,43.81,25.17,7.74,2,"5.466925,100.206189"
2,30.5,4.4,4.56,24.9,7.49,2,"5.466925,100.206189"
3,29.7,5.3,40.91,23.63,8.08,1,"5.482422,100.197283"
3,29.7,5.47,41.18,23.85,8.11,1,"5.482422,100.197283"
3,29.7,5.54,41.22,23.87,8.12,1,"5.482422,100.197283"
3,29.8,5.63,41.56,24.03,8.13,1,"5.482422,100.197283"
3,29.8,5.6,41.7,24.2,8.13,1,"5.482422,100.197283"
3,29.8,5.59,41.64,24.08,8.14,1,"5.482422,100.197283"
3,29.8,5.54,42.85,24.79,8.09,1,"5.482422,100.197283"
3,30.1,5.79,42.98,24.82,8.08,1,"5.482422,100.197283"
3,30.1,5.32,43.02,24.84,8.08,1,"5.482422,100.197283"
3,30.4,4.62,44.92,25.9,7.94,2,"5.482422,100.197283"
3,30.4,4.06,44.96,25.91,7.92,2,"5.482422,100.197283"
3,30.4,3.78,44.96,25.92,7.91,2,"5.482422,100.197283"
4,30.1,4.55,45.2,26.23,8.03,2,"5.491008,100.195036"
4,30.1,4.61,45.21,26.23,8.07,2,"5.491008,100.195036"
4,30.1,4.68,45.22,26.23,8.08,2,"5.491008,100.195036"
4,30,4.36,45.21,26.3,8.08,2,"5.491008,100.195036"
4,30,4.73,45.21,26.31,8.09,2,"5.491008,100.195036"
4,30,4.71,45.27,26.35,8.08,2,"5.491008,100.195036"
4,30,4.7,45.42,26.45,8.05,2,"5.491008,100.195036"
4,30,4.47,45.43,26.44,8.04,2,"5.491008,100.195036"
4,30,4.45,45.43,26.44,8.04,2,"5.491008,100.195036"
4,30,4.45,45.44,26.45,8.04,2,"5.491008,100.195036"
4,30,4.36,45.44,26.45,8.03,2,"5.491008,100.195036"
4,30,4.35,45.44,26.45,8.04,2,"5.491008,100.195036"
4,30,4.38,45.44,26.46,8.03,2,"5.491008,100.195036"
4,30,4.37,45.44,26.45,8.04,2,"5.491008,100.195036"
4,30,4.4,45.44,26.45,8.04,2,"5.491008,100.195036"
4,30,4.4,45.44,26.46,8.04,2,"5.491008,100.195036"
4,30,4.42,45.43,26.47,8.04,2,"5.491008,100.195036"
4,30,4.4,45.43,26.45,8.04,2,"5.491008,100.195036"
4,30,4.45,45.44,26.46,8.04,2,"5.491008,100.195036"
4,30,4.45,45.44,26.46,8.04,2,"5.491008,100.195036"
4,30,4.44,45.44,26.46,8.03,2,"5.491008,100.195036"
4,30,4.41,45.12,26.21,7.76,2,"5.491008,100.195036"
4,30,4.32,45.31,26.4,7.77,2,"5.491008,100.195036"
4,30,4.31,45.3,26.39,7.79,2,"5.491008,100.195036"
5,29.8,3.48,43.82,25.5,7.96,2,"5.506722,100.194008"
5,29.8,3.5,43.83,25.5,8.03,2,"5.506722,100.194008"
5,29.8,3.53,43.83,25.5,8.05,2,"5.506722,100.194008"
5,29.8,3.58,43.87,25.55,8.07,2,"5.506722,100.194008"
5,29.8,3.59,43.86,25.53,8.08,2,"5.506722,100.194008"
5,29.8,3.59,43.84,25.53,8.08,2,"5.506722,100.194008"
5,29.8,3.6,44.16,25.75,8.09,2,"5.506722,100.194008"
5,29.8,3.69,44.23,25.79,8.09,2,"5.506722,100.194008"
5,29.8,3.74,44.18,25.74,8.09,2,"5.506722,100.194008"
5,29.8,3.75,44.26,26.33,8.07,2,"5.506722,100.194008"
5,30,3.69,45.11,26.39,8.06,2,"5.506722,100.194008"
5,30,3.67,45.33,26.39,8.06,2,"5.506722,100.194008"
5,30,3.66,45.36,26.6,8.05,2,"5.506722,100.194008"
5,30,3.64,45.35,26.4,8.06,2,"5.506722,100.194008"
5,30,3.67,45.36,26.4,8.06,2,"5.506722,100.194008"
5,30,3.67,45.37,26.41,8.05,2,"5.506722,100.194008"
5,30,3.64,45.38,26.41,8.05,2,"5.506722,100.194008"
5,30,3.64,45.37,26.41,8.05,2,"5.506722,100.194008"
5,30,3.66,45.39,26.42,8.05,2,"5.506722,100.194008"
5,30,3.65,45.4,26.43,8.05,2,"5.506722,100.194008"
5,30,3.62,45.4,26.42,8.04,2,"5.506722,100.194008"
5,30,3.62,45.47,26.47,8.04,2,"5.506722,100.194008"
5,30,3.66,45.53,26.5,8.03,2,"5.506722,100.194008"
5,30,3.66,45.49,26.47,8.03,2,"5.506722,100.194008"
5,30,3.61,45.49,26.48,8.03,2,"5.506722,100.194008"
5,30,3.65,45.51,26.51,8.03,2,"5.506722,100.194008"
5,30,3.61,45.52,26.47,8.03,2,"5.506722,100.194008"
5,30,3.61,45.58,26.53,8.02,2,"5.506722,100.194008"
5,30,3.63,45.64,26.5,8.02,2,"5.506722,100.194008"
5,30,3.61,45.59,26.52,8.03,2,"5.506722,100.194008"
5,30,3.37,45.41,26.43,8.09,2,"5.506722,100.194008"
5,30,3.8,45.41,26.43,8.05,2,"5.506722,100.194008"
5,30,3.81,45.41,26.43,8.05,2,"5.506722,100.194008"
6,29.6,4.59,43.28,25.27,8.09,2,"5.511678,100.188361"
6,29.8,4.68,43.47,25.26,8.11,2,"5.511678,100.188361"
6,29.8,4.7,43.46,25.26,8.12,2,"5.511678,100.188361"
6,29.8,4.73,43.46,25.26,8.13,2,"5.511678,100.188361"
6,29.8,4.72,43.48,25.28,8.13,2,"5.511678,100.188361"
6,29.8,4.7,43.51,25.29,8.13,2,"5.511678,100.188361"
6,29.8,4.56,43.51,25.29,8.13,2,"5.511678,100.188361"
6,29.8,4.46,43.38,25.33,8.13,2,"5.511678,100.188361"
6,29.8,4.28,43.55,25.32,8.17,2,"5.511678,100.188361"
6,29.8,3.82,43.72,25.44,8.13,2,"5.511678,100.188361"
6,29.8,3.66,43.8,25.46,8.13,2,"5.511678,100.188361"
6,29.8,3.58,43.72,25.42,8.13,2,"5.511678,100.188361"
6,29.8,3.1,43.81,25.51,8.13,2,"5.511678,100.188361"
6,29.8,3.05,43.85,25.48,8.13,2,"5.511678,100.188361"
6,29.8,3.04,43.9,25.51,8.13,2,"5.511678,100.188361"
6,29.8,2.97,44.4,25.85,8.12,3,"5.511678,100.188361"
6,29.8,2.96,44.38,25.84,8.11,3,"5.511678,100.188361"
6,29.8,2.98,44.38,25.85,8.12,3,"5.511678,100.188361"
6,29.9,2.9,45.35,26.41,8.08,3,"5.511678,100.188361"
6,29.9,2.89,45.55,26.34,8.09,3,"5.511678,100.188361"
6,29.9,2.96,44.36,26.1,8.1,3,"5.511678,100.188361"
6,29.9,2.9,45.6,26.28,8.06,3,"5.511678,100.188361"
6,30,2.83,45.66,26.06,8.06,3,"5.511678,100.188361"
6,30,2.89,45.61,26.55,8.06,3,"5.511678,100.188361"
6,30,2.89,45.64,26.57,8.06,3,"5.511678,100.188361"
6,30,2.93,45.56,26.55,8.06,3,"5.511678,100.188361"
6,30,2.95,45.65,26.6,8.06,3,"5.511678,100.188361"
6,30,2.92,45.88,26.33,8.05,3,"5.511678,100.188361"
6,30,2.88,45.87,26.75,8.04,3,"5.511678,100.188361"
6,30,2.86,45.94,26.77,8.04,3,"5.511678,100.188361"
6,30,2.86,46.04,26.83,8.03,3,"5.511678,100.188361"
6,30,2.74,46.05,26.84,8.03,3,"5.511678,100.188361"
6,30,2.88,46.05,26.44,8.03,3,"5.511678,100.188361"
6,30,2.87,46.08,26.85,8.03,3,"5.511678,100.188361"
6,30,2.88,46.08,26.85,8.03,3,"5.511678,100.188361"
6,30,2.86,46.08,26.85,8.03,3,"5.511678,100.188361"
6,30,2.91,46.09,26.85,8.03,3,"5.511678,100.188361"
6,30,2.87,46.09,26.85,8.03,3,"5.511678,100.188361"
6,30,2.9,46.08,26.85,8.03,3,"5.511678,100.188361"
